"new_stem","old_image_name","old_label_name","source_label_sha256","mapped_label_sha256"
"0002","01-PAN-20240418-318-232-L00000010061-CCD18_5_crop1.jpg","01-PAN-20240418-318-232-L00000010061-CCD18_5_crop1.txt","ceb94f89e130eda95d1299246b9837ff52c955b021488d13de8e6c4d8b10d692","ceb94f89e130eda95d1299246b9837ff52c955b021488d13de8e6c4d8b10d692"
"0004","01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg","01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.txt","f05e99d2b85d64210bcb98935c5b54d31314649088d7fb3f4f20fbbe9c34eb2c","f05e99d2b85d64210bcb98935c5b54d31314649088d7fb3f4f20fbbe9c34eb2c"
"0005","01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg","01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.txt","948ce828a193eb19a6c9d09b6e9678193c279113fdb4c744dcbe1dbbbdfebc3c","948ce828a193eb19a6c9d09b6e9678193c279113fdb4c744dcbe1dbbbdfebc3c"
"0006","01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5.jpg","01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5.txt","01037bca24c1170f9e7ed8546748b54cc8022dc68ad8b7a2c97a81bb9c48e3ab","01037bca24c1170f9e7ed8546748b54cc8022dc68ad8b7a2c97a81bb9c48e3ab"
"0007","01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6.jpg","01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6.txt","b2ab5f5a8bd1d88bfec7c300d97ddf096032b83881b54e795c234f02eddff24f","b2ab5f5a8bd1d88bfec7c300d97ddf096032b83881b54e795c234f02eddff24f"
"0008","01-PAN-20240420-113-325-L00000010882-CCD3_5_crop7.jpg","01-PAN-20240420-113-325-L00000010882-CCD3_5_crop7.txt","f9b7a2e9a0e0b42b9e2bc3d000eb4b84668d97e66f2da0a5ad1eae962e4a2c59","f9b7a2e9a0e0b42b9e2bc3d000eb4b84668d97e66f2da0a5ad1eae962e4a2c59"
"0009","01-PAN-20240420-113-325-L00000010882-CCD3_5_crop8.jpg","01-PAN-20240420-113-325-L00000010882-CCD3_5_crop8.txt","7a068dfbe3e6ec28af6ad606047f707a9c7718f4a9f482af5c72776eee1ecbd6","7a068dfbe3e6ec28af6ad606047f707a9c7718f4a9f482af5c72776eee1ecbd6"
"0010","01-PAN-20240420-113-325-L00000010882-CCD3_5_crop9.jpg","01-PAN-20240420-113-325-L00000010882-CCD3_5_crop9.txt","077a889cef13200e4894453e8207e37582156b04995d5ce0a1835b9df432046b","077a889cef13200e4894453e8207e37582156b04995d5ce0a1835b9df432046b"
"0011","01-PAN-20240420-113-325-L00000010882-CCD3_6_crop1.jpg","01-PAN-20240420-113-325-L00000010882-CCD3_6_crop1.txt","7ced29fcddb79efedb33e0400f80ace8ed502a6b8fe163964876c4f7a185c6d9","7ced29fcddb79efedb33e0400f80ace8ed502a6b8fe163964876c4f7a185c6d9"
"0012","01-PAN-20240420-113-325-L00000010882-CCD3_6_crop2.jpg","01-PAN-20240420-113-325-L00000010882-CCD3_6_crop2.txt","3d6cfd209a2ceea96c2f2775f29d6f5434574052e9ea84c992fbfb442a1d72d4","3d6cfd209a2ceea96c2f2775f29d6f5434574052e9ea84c992fbfb442a1d72d4"
